"МОНГОЛ УЛСАД ОРШИН СУУГАА ХҮН АМЫН ТОО, баг/хороо, хот/хөдөөгөөр
",,,,,,
"Баг, хороо",2014,2015,2016,2017,2018,2019
"                            5-р баг, Борбургас","1,411.","1,472.","1,512.","1,535.","1,567.","1,605."
"                            6-р баг, Уст тохой","1,082.","1,106.","1,129.","1,148.","1,139.","1,149."
"                            7-р баг, Долоон гаталга",534.,554.,562.,563.,581.,596.
"                            8-р баг, Партизан","1,107.","1,136.","1,175.","1,190.","1,193.","1,219."
"                            9-р баг, Хөшөөт","1,088.","1,107.","1,154.","1,203.","1,253.","1,251."
            Ховд,"81,479.","83,127.","85,325.","87,363.","88,447.","88,078."
                Жаргалант,"26,729.","27,880.","29,022.","29,800.","30,336.","30,777."
"                        1-р баг, Алагтолгой","1,986.","2,132.","2,190.","2,208.","2,187.","2,137."
"                        2-р баг, Баатархайрхан","2,214.","2,412.","2,503.","2,585.","2,763.","2,745."
"                        3-р баг, Бичигт","2,594.","2,797.","2,852.","2,854.","2,919.","3,052."
"                        4-р баг, Бугат","2,484.","2,559.","2,656.","2,732.","2,733.","2,790."
"                        5-р баг, Буянт","2,703.","2,853.","2,941.","3,013.","3,266.","3,413."
"                        6-р баг, Жаргалан","1,820.","1,825.","1,908.","2,049.","2,010.","1,910."
"                        7-р баг, Магсаржав","2,100.","2,204.","2,330.","2,431.","2,473.","2,505."
"                        8-р баг, Наран","2,651.","2,657.","2,793.","2,875.","2,809.","2,774."
"                        9-р баг, Рашаант","2,208.","2,200.","2,276.","2,299.","2,284.","2,400."
"                        10-р баг, Тахилт","1,693.","1,788.","1,868.","1,861.","1,898.","1,915."
"                        11-р баг, Хайрхан","1,869.","1,872.","1,954.","1,940.","1,906.","1,902."
"                        12-р баг, Цамбагарав","2,407.","2,581.","2,751.","2,953.","3,088.","3,234."
                Алтай,"3,046.","3,086.","3,166.","3,219.","3,310.","3,318."
"                        1-р баг, Бодонч",815.,804.,832.,850.,878.,907.
"                        2-р баг, Алтангадас",956.,979.,"1,007.","1,017.","1,057.","1,070."
"                        3-р баг, Барлаг",564.,574.,590.,608.,636.,645.
"                        4-р баг, Тахилт",711.,729.,737.,744.,739.,696.
"                        1-р баг, Баянгол","9,547.","9,381.","1,494.","1,562.","1,599.","1,540."
                Булган,"1,467.","1,473.","9,704.","10,126.","10,217.","9,807."
"                        2-р баг, Баянсудал","2,164.","2,140.","2,305.","2,384.","2,394.","2,125."
"                        3-р баг, Байтаг","1,347.","1,343.","1,357.","1,420.","1,413.","1,391."
"                        4-р баг, Алагтолгой","1,349.","1,310.","1,365.","1,425.","1,425.","1,445."
"                        5-р баг, Далт","1,518.","1,440.","1,477.","1,579.","1,632.","1,619."
"                        6-р баг, Бүрэнхайрхан","1,702.","1,675.","1,706.","1,756.","1,754.","1,687."
                Буянт,"3,210.","3,392.","3,524.","3,644.","3,733.","3,622."
"                        1-р баг, Нарийн гол",757.,804.,831.,841.,876.,842.
"                        2-р баг, Цагаанбургас",364.,356.,394.,411.,406.,411.
"                        3-р баг, Наранхайрхан",318.,341.,353.,369.,409.,418.
"                        4-р баг, Цагаан-Эрэг",433.,442.,460.,478.,465.,452.
"                        5-р баг, Норжинхайрхан","1,338.","1,449.","1,486.","1,545.","1,577.","1,499."
                    Дарви,"2,777.","2,817.","2,863.","3,013.","3,032.","3,022."
"                            1-р баг, Булаг",493.,501.,504.,519.,539.,551.
"                            2-р баг, Дэлгэр",670.,690.,702.,724.,719.,713.
"                            3-р баг, Мөрөн",643.,650.,661.,736.,734.,708.
"                            4-р баг, Мөнгөн аяга",449.,455.,468.,478.,475.,474.
"                            5-р баг, Булган",522.,521.,528.,556.,565.,576.
                    Дөргөн,"2,907.","2,893.","2,939.","3,044.","3,060.","3,034."
"                            1-р баг, Агваш",719.,740.,737.,744.,723.,716.
"                            2-р баг, Сээр",760.,763.,757.,787.,805.,792.
"                            3-р баг, Аргалант",822.,813.,844.,861.,881.,889.
"                            4-р баг, Өгөөмөр",606.,577.,601.,652.,651.,637.
                    Дуут,"1,959.","1,947.","2,006.","2,058.","2,064.","2,018."
"                            1-р баг, Шивэр",440.,467.,499.,505.,504.,501.
"                            2-р баг, Хөх бэлчир",598.,555.,573.,602.,621.,613.
"                            3-р баг, Цагаан бургас",444.,459.,469.,471.,467.,460.
"                            4-р баг, Босго",477.,466.,465.,480.,472.,444.
                    Зэрэг,"3,078.","3,143.","3,184.","3,245.","3,318.","3,321."
"                            1-р баг, Гүвээ",577.,577.,579.,601.,609.,613.
"                            2-р баг, Бургасан",497.,516.,505.,528.,539.,543.
"                            3-р баг, Бураа",599.,612.,628.,651.,652.,627.
"                            4-р баг, Эхэн",537.,548.,556.,572.,592.,604.
"                            5-р баг, Хөндлөн",868.,890.,916.,893.,926.,934.
                    Манхан,"4,011.","4,067.","4,155.","4,217.","4,277.","4,269."
"                            1-р баг, Тахилт",394.,411.,408.,440.,455.,443.
"                            2-р баг, Зэрэг гол",694.,687.,714.,718.,743.,754.
"                            3-р баг, Улаан хүрээ",411.,427.,444.,445.,441.,447.
"                            4-р баг, Баянгол",927.,928.,951.,963.,968.,975.
"                            5-р баг, Ботгон",374.,378.,384.,391.,397.,392.
"                            6-р баг, Төгрөг гол","1,211.","1,236.","1,254.","1,260.","1,273.","1,258."
                    Мөнххайрхан,"2,177.","2,184.","2,221.","2,216.","2,217.","2,187."
"                            1-р баг, Алаг",565.,568.,585.,580.,592.,613.
"                            2-р баг, Борт",550.,555.,562.,567.,575.,559.
"                            3-р баг, Хаг",363.,366.,374.,383.,389.,381.
"                            4-р баг, Сэнхэр",699.,695.,700.,686.,661.,634.
                    Мөст,"3,033.","3,075.","3,067.","3,144.","3,144.","3,141."
"                            1-р баг, Цэцэг гол",716.,718.,705.,719.,725.,734.
"                            2-р баг, Хужирт",729.,730.,720.,734.,745.,753.
"                            3-р баг, Баянхайрхан",652.,679.,690.,724.,711.,720.
"                            4-р баг, Давст",247.,264.,268.,289.,280.,268.
"                            5-р баг, Улаантолгой",689.,684.,684.,678.,683.,666.
                    Мянгад,"3,449.","3,581.","3,600.","3,630.","3,684.","3,654."
"                            1-р баг, Чацаргант",571.,565.,567.,587.,614.,606.
"                            2-р баг, Баянбулаг",623.,718.,727.,715.,710.,683.
"                            3-р баг, Гахайт",273.,271.,264.,262.,271.,275.
"                            4-р баг, Цагаанбулан","1,179.","1,192.","1,193.","1,202.","1,186.","1,208."
"                            5-р баг, Баянхошуу",803.,835.,849.,864.,903.,882.
                    Үенч,"4,125.","4,083.","4,155.","4,091.","3,996.","3,905."
"                            1-р баг, Цагаантүнгэ",778.,765.,761.,759.,771.,753.
"                            2-р баг, Нарийн гол",900.,891.,895.,901.,924.,933.
"                            3-р баг, Жаргалан",714.,673.,722.,700.,639.,632.
"                            4-р баг, Улиаст",448.,447.,459.,463.,444.,504.
"                            5-р баг, Хөх үзүүр","1,285.","1,307.","1,318.","1,268.","1,218.","1,083."
                Ховд,"3,343.","3,477.","3,469.","3,554.","3,604.","3,447."
"                        1-р баг, Баянбулаг",659.,768.,721.,754.,771.,734.
"                        2-р баг, Цагаанбургас",702.,709.,718.,738.,755.,755.
"                        3-р баг, Баруун салаа",698.,716.,719.,733.,747.,675.
"                        4-р баг, Улаанбураа",621.,613.,620.,632.,655.,611.
"                        5-р баг, Дунд ус",663.,671.,691.,697.,676.,672.
                    Цэцэг,"2,850.","2,922.","2,974.","3,051.","3,133.","3,140."
"                            1-р баг, Хажинга",471.,495.,509.,498.,518.,518.
"                            2-р баг, Баянгол",476.,484.,486.,499.,502.,487.
"                            3-р баг, Баян-Овоо",582.,599.,614.,657.,671.,684.
"                            4-р баг, Цэцэг нуур",570.,565.,597.,596.,610.,607.
"                            5-р баг, Хөшөөт",751.,779.,768.,801.,832.,844.
                    Чандмань,"2,865.","2,860.","2,916.","2,937.","2,955.","3,009."
"                            1-р баг, Талын булаг",331.,331.,367.,359.,362.,375.
"                            2-р баг, Тахилт",418.,411.,413.,426.,430.,451.
"                            3-р баг, Баянхайрхан",555.,549.,561.,563.,580.,587.
"                            4-р баг, Сүлжээ",529.,539.,546.,547.,568.,569.
"                            5-р баг, Урд гол",514.,515.,523.,517.,508.,507.
"                            6-р баг, Жаргалант",518.,515.,506.,525.,507.,520.
                    Эрдэнэбүрэн,"2,373.","2,339.","2,360.","2,374.","2,367.","2,407."
"                            1-р баг, Баянгол",413.,410.,407.,418.,430.,424.
"                            2-р баг, Намаржин",340.,340.,345.,338.,334.,352.
"                            3-р баг, Хонгио",457.,454.,453.,456.,451.,452.
"                            4-р баг, Шураг",646.,627.,636.,656.,643.,652.
"                            5-р баг, Хар ус",517.,508.,519.,506.,509.,527.
            Увс,"75,737.","80,396.","81,377.","82,604.","83,617.","82,941."
                Улаангом,"27,849.","30,349.","30,688.","30,946.","31,613.","31,652."
                        1-р баг,"1,884.","1,887.","1,942.","1,987.","1,971.","1,927."
                        2-р баг,"1,030.","1,899.","1,945.","1,951.","2,023.","2,016."
                        3-р баг,"3,544.","3,812.","4,049.","4,096.","4,539.","4,913."
                        4-р баг,"3,359.","2,702.","2,675.","2,691.","2,741.","2,628."
                        5-р баг,"2,353.","2,597.","2,586.","2,516.","2,477.","2,389."
                        6-р баг,"2,642.","3,023.","3,011.","3,057.","3,101.","3,002."
                        7-р баг,"3,523.","3,182.","3,168.","3,190.","3,314.","3,438."
                        8-р баг,643.,792.,813.,854.,915.,990.
                        9-р баг,"3,366.","2,471.","2,541.","2,597.","2,717.","2,660."
                        10-р баг,"3,239.","3,549.","3,597.","3,660.","3,485.","3,373."
                        11-р баг,"2,266.","2,298.","2,296.","2,258.","2,222.","2,231."
                        12-р баг,,"2,137.","2,065.","2,089.","2,108.","2,085."
                Баруунтуруун,"2,449.","2,648.","2,678.","2,700.","2,742.","2,662."
"                        1-р баг, Шанд",608.,724.,701.,699.,712.,665.
